AnimalID,AnimalType,Intake Date,IntakeYear,IntakeMonth,Name,Breed,Estimated Age,Sex,SpayNeuter,Size,Color,IntakeType,Outcome Type,Outcome Subtype,Zip Where Found,Latitude,Longitude,Zip Where Placed,OutcomeDate,OutcomeYear,OutcomeMonth
A000049,DOG,2012-08-04T00:00:00Z,2012,August,STELLA,COLLIE ROUGH - POMERANIAN,Older than 7 years,FEMALE,TRUE,MED,TAN,Owner Surrender,Transferred to Rescue Group,UNKNOWN,40211,38.2414,-85.8118,46410,2012-08-17T00:00:00Z,2012,August
A000179,DOG,2011-07-29T00:00:00Z,2011,July,DEE DEE,COLLIE SMOOTH - MIX,Older than 7 years,FEMALE,TRUE,LARGE,BROWN,Owner Surrender,Euthanized,Requested,40118,38.1061,-85.7536,UNKNOWN,2011-07-29T00:00:00Z,2011,July
A001010,DOG,2011-02-04T00:00:00Z,2011,February,KATIE,UNKNOWN,Older than 1 year,FEMALE,TRUE,LARGE,CHOCOLATE,Stray,Returned to Owner,UNKNOWN,40214,38.1609,-85.7762,40215,2011-02-12T00:00:00Z,2011,February
A001151,DOG,2011-02-07T00:00:00Z,2011,February,CHANCE,LABRADOR RETR - MIX,Older than 1 year,MALE,TRUE,MED,BROWN,Stray,Returned to Owner,In field,40118,38.1061,-85.7536,40118,2011-02-07T00:00:00Z,2011,February
A002054,DOG,2011-10-15T00:00:00Z,2011,October,KILO,UNKNOWN,Older than 7 years,MALE,TRUE,MED,WHITE,Owner Surrender,Returned to Owner,UNKNOWN,40272,38.0961,-85.8599,40272,2011-10-24T00:00:00Z,2011,October
A002110,DOG,2011-07-29T00:00:00Z,2011,July,JOEY,UNKNOWN,Older than 7 years,FEMALE,TRUE,SMALL,BLACK,Owner Surrender,Euthanized,Requested,40210,38.2307,-85.7867,UNKNOWN,2011-07-29T00:00:00Z,2011,July
A003013,DOG,2012-05-13T00:00:00Z,2012,May,ALLEY,UNKNOWN,Older than 7 years,FEMALE,TRUE,MED,FAWN,Owner Surrender,Euthanized,Medical,40258,38.1417,-85.8638,UNKNOWN,2012-05-13T00:00:00Z,2012,May
A003142,DOG,2012-04-17T00:00:00Z,2012,April,TYSON,UNKNOWN,Older than 7 years,MALE,TRUE,MED,BR BRINDLE,Stray,Returned to Owner,UNKNOWN,40220,38.215,-85.6221,UNKNOWN,2012-04-18T00:00:00Z,2012,April
A003758,DOG,2011-06-14T00:00:00Z,2011,June,RALPHIE,BEAGLE - MIX,Older than 7 years,MALE,TRUE,MED,BROWN,Owner Surrender,Euthanized,Medical,40291,38.1472,-85.5917,UNKNOWN,2011-06-14T00:00:00Z,2011,June
A003880,DOG,2012-03-12T00:00:00Z,2012,March,AMBER,UNKNOWN,Older than 7 years,FEMALE,TRUE,MED,TRICOLOR,Owner Surrender,Euthanized,Requested,40213,38.1861,-85.713,UNKNOWN,2012-03-12T00:00:00Z,2012,March
A004866,DOG,2011-01-25T00:00:00Z,2011,January,JIMBO,BEAGLE - MIX,Older than 7 years,MALE,FALSE,MED,BLACK,Owner Surrender,Euthanized,UNKNOWN,40216,38.1889,-85.8314,UNKNOWN,2011-01-25T00:00:00Z,2011,January
A006322,DOG,2011-06-03T00:00:00Z,2011,June,KING,COLLIE SMOOTH - PURE BRED,Older than 7 years,MALE,TRUE,MED,TAN,Owner Surrender,Euthanized,Requested,40204,38.2386,-85.7263,UNKNOWN,2011-06-03T00:00:00Z,2011,June
A007666,CAT,2011-11-26T00:00:00Z,2011,November,K C,UNKNOWN,Older than 7 years,MALE,TRUE,MED,BLACK,Owner Surrender,Euthanized,Requested,40214,38.1609,-85.7762,UNKNOWN,2011-11-26T00:00:00Z,2011,November
A008414,CAT,2011-09-30T00:00:00Z,2011,September,SMOKEY,DOMESTIC SH - MIX,Older than 7 years,FEMALE,TRUE,MED,GRAY,Owner Surrender,Euthanized,Requested,40216,38.1889,-85.8314,UNKNOWN,2011-09-30T00:00:00Z,2011,September
A009644,DOG,2011-07-13T00:00:00Z,2011,July,GYPSY,MIX - BEAGLE,Older than 7 years,FEMALE,TRUE,MED,BLACK,Owner Surrender,Euthanized,Requested,40208,38.2188,-85.7624,UNKNOWN,2011-07-13T00:00:00Z,2011,July
A011975,DOG,2011-05-11T00:00:00Z,2011,May,JOYCE,UNKNOWN,Older than 7 years,FEMALE,TRUE,MED,TRICOLOR,Owner Surrender,Euthanized,Requested,40211,38.2414,-85.8118,UNKNOWN,2011-05-11T00:00:00Z,2011,May
A012055,DOG,2011-03-14T00:00:00Z,2011,March,MIDNIGHT,AMER ESKIMO - MIX,Older than 7 years,MALE,TRUE,MED,BLACK,Owner Surrender,Euthanized,Requested,40118,38.1061,-85.7536,UNKNOWN,2011-03-14T00:00:00Z,2011,March
A013516,DOG,2011-05-17T00:00:00Z,2011,May,DAKOTA,UNKNOWN,Older than 7 years,MALE,TRUE,MED,BLACK,Stray,Adopted,Walk In,UNKNOWN,UNKNOWN,UNKNOWN,40242,2011-06-29T00:00:00Z,2011,June
A014072,DOG,2012-09-08T00:00:00Z,2012,September,ANGEL,SIBERIAN HUSKY - MIX,Older than 7 years,FEMALE,TRUE,MED,GRAY,Owner Surrender,Euthanized,Requested,40229,38.0856,-85.6698,40229,2012-09-08T00:00:00Z,2012,September
A015357,CAT,2011-01-10T00:00:00Z,2011,January,SASSY,TURKISH ANGORA - PERSIAN,Older than 7 years,FEMALE,TRUE,MED,WHITE,Owner Surrender,Transferred to Rescue Group,Rescue Group,40214,38.1609,-85.7762,40268,2011-01-22T00:00:00Z,2011,January
A018787,DOG,2011-04-26T00:00:00Z,2011,April,WIZARD,UNKNOWN,Older than 7 years,MALE,TRUE,MED,BLACK,Owner Surrender,Euthanized,UNKNOWN,40210,38.2307,-85.7867,UNKNOWN,2011-04-26T00:00:00Z,2011,April
A018862,DOG,2011-08-24T00:00:00Z,2011,August,BUTCH,DALMATIAN - MIX,Older than 7 years,MALE,TRUE,MED,BLACK,Stray,Returned to Owner,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,40215,2011-08-24T00:00:00Z,2011,August
